g3n3z: optimization of dependency weights using a genetic algorithm approach.
	g3n3z is a part of s4rdm3x tobias-dv-lnu.github.io/s4rdm3x/

Algorithm Parameters:
	system:	ArgoUML
	File_Horizontal:	0.965437264902495
	File_LevelUp:	0.24353529982643285
	File_LevelDown:	0.4520221477939679
	Unknown:	0.5469293292271571
Evaluating generation: 3
		Individual Median F1: 0.8119330267641938
		Individual Median F1: 0.8155335255103238
		Individual Median F1: 0.813461076886151
		Individual Median F1: 0.7996306971716809
		Individual Median F1: 0.7915293177504745
		Individual Median F1: 0.8153445855416288
		Individual Median F1: 0.8310269313204734
		Individual Median F1: 0.7281683833407973
		Individual Median F1: 0.727926466612598
		Individual Median F1: 0.8172541743970315
		Individual Median F1: 0.8170602696863593
		Individual Median F1: 0.8270662866599245
		Individual Median F1: 0.8301089025493806
		Individual Median F1: 0.8247047709022202
		Individual Median F1: 0.8026633986928104
		Individual Median F1: 0.7973631835557007
		Individual Median F1: 0.7785714285714285
		Individual Median F1: 0.7309654066060631
		Individual Median F1: 0.7943496271748136
		Individual Median F1: 0.7999171880750828
		Individual Median F1: 0.8221966205837173
		Individual Median F1: 0.8295635552723797
		Individual Median F1: 0.8303608840401948
		Individual Median F1: 0.8377982193835285
		Individual Median F1: 0.8249235474006116
		Individual Median F1: 0.7057770500750443
		Individual Median F1: 0.817701461524243
		Individual Median F1: 0.7568846815834768
		Individual Median F1: 0.8202644264302432
		Individual Median F1: 0.800009849305624
	Average F1 score:	0.778617666119682
	Best Individual F1 score:	0.8270662866599245
	F1:	0.8270662866599245
	Extends:	0.8946965433404411
	Implements:	0.5078420629394571
	Field:	0.3440034115125259
	Argument:	0.21537185976770834
	Returns:	0.31788662619878383
	LocalVar:	0.07765274662507493
	MethodCall:	0.04308722308571067
	ConstructorCall:	0.8229686037702334
	OwnFieldUse:	0.9896351750211895
	FieldUse:	0.04938594872837798
	Throws:	0.17956029491456693
	File_Horizontal:	0.27310980254584205
	File_LevelUp:	0.4732212211033717
	File_LevelDown:	0.4520221477939679
	Unknown:	0.904508205055439
Evaluating generation: 4
		Individual Median F1: 0.8130112367392519
		Individual Median F1: 0.8044473405110951
		Individual Median F1: 0.8105737480954565
		Individual Median F1: 0.7936088531622298
		Individual Median F1: 0.7993987818549222
		Individual Median F1: 0.8222890689694402
		Individual Median F1: 0.8215192007074856
		Individual Median F1: 0.8100387867789808
		Individual Median F1: 0.8106478610740349
		Individual Median F1: 0.7971814923427827
		Individual Median F1: 0.7993043862991138
		Individual Median F1: 0.7941430499325236
		Individual Median F1: 0.8038049312038512
		Individual Median F1: 0.8086064522025865
		Individual Median F1: 0.8228913943199657
		Individual Median F1: 0.7930601755233346
		Individual Median F1: 0.799401317954683
		Individual Median F1: 0.7940363210310486
		Individual Median F1: 0.8356884998640062
		Individual Median F1: 0.7923186921532538
		Individual Median F1: 0.7873723837474562
		Individual Median F1: 0.8125190416839772
		Individual Median F1: 0.8300428178540096
		Individual Median F1: 0.8356884998640062
		Individual Median F1: 0.8236247492345053
		Individual Median F1: 0.8028309254197579
		Individual Median F1: 0.8079129124245086
		Individual Median F1: 0.825415175704193
		Individual Median F1: 0.8216480210187305
		Individual Median F1: 0.7873018937338137
	Average F1 score:	0.7858600317445852
	Best Individual F1 score:	0.8356884998640062
	F1:	0.8356884998640062
	Extends:	0.7949921014007229
	Implements:	0.5078420629394571
	Field:	0.9697531893905375
	Argument:	0.21537185976770834
	Returns:	0.9850795695079971
	LocalVar:	0.36141101320734514
	MethodCall:	0.04308722308571067
	ConstructorCall:	0.8229686037702334
	OwnFieldUse:	0.2395628594406466
	FieldUse:	0.04938594872837798
	Throws:	0.9814511806503545
	File_Horizontal:	0.965437264902495
	File_LevelUp:	0.24353529982643285
	File_LevelDown:	0.4520221477939679
	Unknown:	0.904508205055439
Evaluating generation: 5
		Individual Median F1: 0.8092494929006084
		Individual Median F1: 0.8323537672550998
		Individual Median F1: 0.8330352707401887
		Individual Median F1: 0.8204283883411372
		Individual Median F1: 0.8316953699266185
		Individual Median F1: 0.8370061305801231
		Individual Median F1: 0.8242410024827478
		Individual Median F1: 0.8283829074151655
		Individual Median F1: 0.8357057343583141
		Individual Median F1: 0.8349375396860323
		Individual Median F1: 0.8243336697693544
		Individual Median F1: 0.820968324701915
		Individual Median F1: 0.8216517999025361
		Individual Median F1: 0.820968324701915
		Individual Median F1: 0.8001584953810326
		Individual Median F1: 0.8201578771235654
		Individual Median F1: 0.8157978034626636
		Individual Median F1: 0.8232459570031392
		Individual Median F1: 0.8350263014692545
		Individual Median F1: 0.8270508581325775
		Individual Median F1: 0.8317348745183797
		Individual Median F1: 0.8320483708551308
		Individual Median F1: 0.8310579404175463
		Individual Median F1: 0.827720706386258
		Individual Median F1: 0.8214998195048733
		Individual Median F1: 0.8403160433020368
		Individual Median F1: 0.8161988773055333
		Individual Median F1: 0.8216480210187304
		Individual Median F1: 0.8168856897223808
		Individual Median F1: 0.8174655908875178
	Average F1 score:	0.800780332917978
	Best Individual F1 score:	0.8403160433020368
	F1:	0.8403160433020368
	Extends:	0.8946965433404411
	Implements:	0.5078420629394571
	Field:	0.9697531893905375
	Argument:	0.21537185976770834
	Returns:	0.744637128133413
	LocalVar:	0.36141101320734514
	MethodCall:	0.04308722308571067
	ConstructorCall:	0.8229686037702334
	OwnFieldUse:	0.6171235417918272
	FieldUse:	0.5364691145793721
	Throws:	0.17956029491456693
	File_Horizontal:	0.965437264902495
	File_LevelUp:	0.24353529982643285
	File_LevelDown:	0.4348200390330197
	Unknown:	0.904508205055439
Evaluating generation: 6
		Individual Median F1: 0.8026485151591009
		Individual Median F1: 0.8058364744091222
		Individual Median F1: 0.805687361129884
		Individual Median F1: 0.8157045075212195
		Individual Median F1: 0.8047184749436065
		Individual Median F1: 0.805687361129884
		Individual Median F1: 0.8059412933127345
		Individual Median F1: 0.8264505197600402
		Individual Median F1: 0.8082870971549995
		Individual Median F1: 0.8098218483149615
		Individual Median F1: 0.8109500562921457
		Individual Median F1: 0.8073861154556086
		Individual Median F1: 0.7924928232256667
		Individual Median F1: 0.795197008915732
		Individual Median F1: 0.7999507777472616
		Individual Median F1: 0.8072741031522691
		Individual Median F1: 0.8197716694069423
		Individual Median F1: 0.8115583700505177
		Individual Median F1: 0.8022201375859912
		Individual Median F1: 0.8068288595766637
		Individual Median F1: 0.8178982984699121
		Individual Median F1: 0.8144996413408945
		Individual Median F1: 0.8029966293874538
		Individual Median F1: 0.8094686438059933
		Individual Median F1: 0.810237236321312
		Individual Median F1: 0.8043832152609277
		Individual Median F1: 0.7997645211930926
		Individual Median F1: 0.8073861154556087
		Individual Median F1: 0.7997645211930926
		Individual Median F1: 0.8054257140887957
	Average F1 score:	0.7293156408097635
	Best Individual F1 score:	0.8264505197600402
	F1:	0.8264505197600402
	Extends:	0.7949921014007229
	Implements:	0.8793277540439939
	Field:	0.9697531893905375
	Argument:	0.21537185976770834
	Returns:	0.744637128133413
	LocalVar:	0.36141101320734514
	MethodCall:	0.04308722308571067
	ConstructorCall:	0.8229686037702334
	OwnFieldUse:	0.9896351750211895
	FieldUse:	0.5364691145793721
	Throws:	0.34120351696284035
	File_Horizontal:	0.965437264902495
	File_LevelUp:	0.15485304978649383
	File_LevelDown:	0.4348200390330197
	Unknown:	0.8761930777821382
Evaluating generation: 7
		Individual Median F1: 0.8315336384675281
		Individual Median F1: 0.8273032575307607
		Individual Median F1: 0.8261265560991131
		Individual Median F1: 0.8233443947482325
		Individual Median F1: 0.8250229770229769
		Individual Median F1: 0.815261631449392
		Individual Median F1: 0.8228604156439208
		Individual Median F1: 0.8228604156439208
		Individual Median F1: 0.822732654889913
		Individual Median F1: 0.8196815442779908
		Individual Median F1: 0.8226724637402039
		Individual Median F1: 0.8205210803009999
		Individual Median F1: 0.8203409493732075
		Individual Median F1: 0.8181568239304959
		Individual Median F1: 0.8201819277768645
		Individual Median F1: 0.811073249929624
		Individual Median F1: 0.8385310496184697
		Individual Median F1: 0.8200190227466911
		Individual Median F1: 0.8297646972801953
		Individual Median F1: 0.8304045213633786
		Individual Median F1: 0.8251888830650832
		Individual Median F1: 0.8240183929246159
		Individual Median F1: 0.8264433243763217
		Individual Median F1: 0.8270567998828869
		Individual Median F1: 0.8190126937529166
		Individual Median F1: 0.8234980174439291
		Individual Median F1: 0.816966969156415
		Individual Median F1: 0.8264383974294608
		Individual Median F1: 0.8011306599038411
		Individual Median F1: 0.8214464012119335
	Average F1 score:	0.7902888530225013
	Best Individual F1 score:	0.8385310496184697
	F1:	0.8385310496184697
	Extends:	0.7949921014007229
	Implements:	0.8793277540439939
	Field:	0.9697531893905375
	Argument:	0.21537185976770834
	Returns:	0.932519184460399
	LocalVar:	0.36141101320734514
	MethodCall:	0.04308722308571067
	ConstructorCall:	0.8229686037702334
	OwnFieldUse:	0.9896351750211895
	FieldUse:	0.5364691145793721
	Throws:	0.7450525302313056
	File_Horizontal:	0.965437264902495
	File_LevelUp:	0.15485304978649383
	File_LevelDown:	0.4348200390330197
	Unknown:	0.5469293292271571
Evaluating generation: 8
		Individual Median F1: 0.8357049394831533
		Individual Median F1: 0.8285004617393243
		Individual Median F1: 0.8336557913708758
		Individual Median F1: 0.8265221017514595
		Individual Median F1: 0.8320018778296745
		Individual Median F1: 0.829665567941928
		Individual Median F1: 0.8215581844747137
		Individual Median F1: 0.8324509555064002
		Individual Median F1: 0.8381221438687165
		Individual Median F1: 0.8265221017514596
		Individual Median F1: 0.8215581844747137
		Individual Median F1: 0.8311614437894301
		Individual Median F1: 0.8231624200482331
		Individual Median F1: 0.8276497695852535
		Individual Median F1: 0.8302260604521209
		Individual Median F1: 0.8257413081767077
		Individual Median F1: 0.8349737605049726
		Individual Median F1: 0.8334290088021431
		Individual Median F1: 0.833989501312336
		Individual Median F1: 0.8347651775486827
		Individual Median F1: 0.8318181818181819
		Individual Median F1: 0.838078967350038
		Individual Median F1: 0.8347651775486826
		Individual Median F1: 0.8291658505799657
		Individual Median F1: 0.8186236773385258
		Individual Median F1: 0.8329945500073648
		Individual Median F1: 0.8283232488214114
		Individual Median F1: 0.8336557913708758
		Individual Median F1: 0.8276497695852534
		Individual Median F1: 0.8307381776239908
	Average F1 score:	0.7928327913100442
	Best Individual F1 score:	0.8381221438687165
	F1:	0.8381221438687165
	Extends:	0.7949921014007229
	Implements:	0.5078420629394571
	Field:	0.9851916668004733
	Argument:	0.5232397077204036
	Returns:	0.932519184460399
	LocalVar:	0.36141101320734514
	MethodCall:	0.04308722308571067
	ConstructorCall:	0.9870515980945805
	OwnFieldUse:	0.2395628594406466
	FieldUse:	0.04938594872837798
	Throws:	0.17956029491456693
	File_Horizontal:	0.27310980254584205
	File_LevelUp:	0.2941355550996345
	File_LevelDown:	0.4520221477939679
	Unknown:	0.904508205055439
Evaluating generation: 9
		Individual Median F1: 0.8307381776239907
		Individual Median F1: 0.8228443614354986
		Individual Median F1: 0.8311794058906219
		Individual Median F1: 0.8242589616117818
		Individual Median F1: 0.8308516892145144
		Individual Median F1: 0.825619988812232
		Individual Median F1: 0.8321602481586894
		Individual Median F1: 0.8247857285230218
		Individual Median F1: 0.8183932346723044
		Individual Median F1: 0.8305143626376013
		Individual Median F1: 0.8111521031176697
		Individual Median F1: 0.8170163170163172
		Individual Median F1: 0.8321602481586892
		Individual Median F1: 0.8278274387874076
		Individual Median F1: 0.811770814244701
		Individual Median F1: 0.8214738331885876
		Individual Median F1: 0.821127946127946
		Individual Median F1: 0.8320866896816264
		Individual Median F1: 0.8328352809801671
		Individual Median F1: 0.8297475616752725
		Individual Median F1: 0.8025032182018395
		Individual Median F1: 0.8204466448962394
		Individual Median F1: 0.8301813011020263
		Individual Median F1: 0.8190792946890507
		Individual Median F1: 0.8327625570776256
		Individual Median F1: 0.832835280980167
		Individual Median F1: 0.825619988812232
		Individual Median F1: 0.8190792946890507
		Individual Median F1: 0.8234247013225717
		Individual Median F1: 0.8215178940253107
	Average F1 score:	0.7648261589488413
	Best Individual F1 score:	0.8308516892145144
	F1:	0.8308516892145144
	Extends:	0.8946965433404411
	Implements:	0.8793277540439939
	Field:	0.9697531893905375
	Argument:	0.21537185976770834
	Returns:	1.0
	LocalVar:	0.36141101320734514
	MethodCall:	0.04308722308571067
	ConstructorCall:	0.9870515980945805
	OwnFieldUse:	0.9896351750211895
	FieldUse:	0.04938594872837798
	Throws:	0.7450525302313056
	File_Horizontal:	0.965437264902495
	File_LevelUp:	0.15485304978649383
	File_LevelDown:	0.4348200390330197
	Unknown:	0.5469293292271571
Evaluating generation: 10
		Individual Median F1: 0.835317767125406
		Individual Median F1: 0.8345080890914948
		Individual Median F1: 0.8390275831551
		Individual Median F1: 0.8297787310834903
		Individual Median F1: 0.8356304962675611
		Individual Median F1: 0.8393328828552122
		Individual Median F1: 0.8369304408435675
		Individual Median F1: 0.848415419979651
		Individual Median F1: 0.8263217221998881
		Individual Median F1: 0.8306459658311511
		Individual Median F1: 0.8401990968801314
		Individual Median F1: 0.8340178225493995
		Individual Median F1: 0.8408694849926193
		Individual Median F1: 0.8308901437243683
		Individual Median F1: 0.8305906488906627
		Individual Median F1: 0.8369304408435676
		Individual Median F1: 0.8361252146413174
		Individual Median F1: 0.84874838335368
		Individual Median F1: 0.8361252146413174
		Individual Median F1: 0.8369304408435675
		Individual Median F1: 0.8332081445154883
		Individual Median F1: 0.8369304408435675
		Individual Median F1: 0.8342962300584478
		Individual Median F1: 0.8369304408435675
		Individual Median F1: 0.8369304408435675
		Individual Median F1: 0.8342962300584478
		Individual Median F1: 0.8316953699266183
		Individual Median F1: 0.8268305081554653
		Individual Median F1: 0.8292730181745456
		Individual Median F1: 0.8310904265261112
	Average F1 score:	0.8156648926095079
	Best Individual F1 score:	0.8390275831551
	F1:	0.8390275831551
	Extends:	0.7949921014007229
	Implements:	0.8793277540439939
	Field:	0.9697531893905375
	Argument:	0.21537185976770834
	Returns:	0.9850795695079971
	LocalVar:	0.36141101320734514
	MethodCall:	0.04308722308571067
	ConstructorCall:	0.9870515980945805
	OwnFieldUse:	0.9896351750211895
	FieldUse:	0.04938594872837798
	Throws:	0.34120351696284035
	File_Horizontal:	0.965437264902495
	File_LevelUp:	0.15485304978649383
	File_LevelDown:	0.3521254935374693
	Unknown:	0.904508205055439
Evaluating generation: 11
		Individual Median F1: 0.8498497171145685
		Individual Median F1: 0.8507172995780591
		Individual Median F1: 0.8547684960165678
		Individual Median F1: 0.8547684960165678
		Individual Median F1: 0.8583189169893182
		Individual Median F1: 0.8602260598264868
		Individual Median F1: 0.8557686945854013
		Individual Median F1: 0.852861353179399
		Individual Median F1: 0.8564571525662342
		Individual Median F1: 0.8564571525662342
		Individual Median F1: 0.8490084743953721
		Individual Median F1: 0.8476651419297855
		Individual Median F1: 0.8519029819046811
		Individual Median F1: 0.8528140737716075
		Individual Median F1: 0.8434515739761335
		Individual Median F1: 0.8488176666015244
		Individual Median F1: 0.8512743525879423
		Individual Median F1: 0.8519029819046811
		Individual Median F1: 0.8547684960165678
		Individual Median F1: 0.8526220614828209
		Individual Median F1: 0.8519029819046811
		Individual Median F1: 0.8531731015709874
		Individual Median F1: 0.8490649843411227
		Individual Median F1: 0.8542719996101412
		Individual Median F1: 0.8573605457146001
		Individual Median F1: 0.852861353179399
		Individual Median F1: 0.852861353179399
		Individual Median F1: 0.8518404972513518
		Individual Median F1: 0.8512743525879423
		Individual Median F1: 0.8547684960165678
	Average F1 score:	0.7824473153460951
	Best Individual F1 score:	0.8573605457146001
	F1:	0.8573605457146001
	Extends:	0.7949921014007229
	Implements:	0.8793277540439939
	Field:	0.9697531893905375
	Argument:	0.5232397077204036
	Returns:	0.9850795695079971
	LocalVar:	0.36141101320734514
	MethodCall:	0.04308722308571067
	ConstructorCall:	0.9870515980945805
	OwnFieldUse:	0.2395628594406466
	FieldUse:	0.04938594872837798
	Throws:	0.34120351696284035
	File_Horizontal:	0.965437264902495
	File_LevelUp:	0.15485304978649383
	File_LevelDown:	0.3521254935374693
	Unknown:	0.1797368297788997
Evaluating generation: 12
		Individual Median F1: 0.8476058852816455
		Individual Median F1: 0.844661283086586
		Individual Median F1: 0.8483767820250148
		Individual Median F1: 0.8364293266113737
		Individual Median F1: 0.8585962686961577
		Individual Median F1: 0.8395254315292631
		Individual Median F1: 0.8585962686961577
		Individual Median F1: 0.8558469654132079
		Individual Median F1: 0.8372064907850195
		Individual Median F1: 0.8446612830865858
		Individual Median F1: 0.83893989005176
		Individual Median F1: 0.8559589389615274
		Individual Median F1: 0.83893989005176
		Individual Median F1: 0.840504195395083
		Individual Median F1: 0.830500116789079
		Individual Median F1: 0.8403121283788297
		Individual Median F1: 0.8558469654132079
		Individual Median F1: 0.8446612830865858
		Individual Median F1: 0.8423423423423423
		Individual Median F1: 0.8558469654132079
		Individual Median F1: 0.8483767820250148
		Individual Median F1: 0.8558469654132079
		Individual Median F1: 0.8401269454830015
		Individual Median F1: 0.8596754979405417
		Individual Median F1: 0.8476058852816455
		Individual Median F1: 0.840504195395083
		Individual Median F1: 0.8446612830865858
		Individual Median F1: 0.8558469654132079
		Individual Median F1: 0.8446612830865858
		Individual Median F1: 0.8352527605244996
	Average F1 score:	0.8232777462908881
	Best Individual F1 score:	0.8596754979405417
	F1:	0.8596754979405417
	Extends:	0.7949921014007229
	Implements:	0.8793277540439939
	Field:	0.9697531893905375
	Argument:	0.5232397077204036
	Returns:	0.9850795695079971
	LocalVar:	0.36141101320734514
	MethodCall:	0.04308722308571067
	ConstructorCall:	0.9870515980945805
	OwnFieldUse:	0.9896351750211895
	FieldUse:	0.04938594872837798
	Throws:	0.34120351696284035
	File_Horizontal:	0.965437264902495
	File_LevelUp:	0.15485304978649383
	File_LevelDown:	0.3521254935374693
	Unknown:	0.904508205055439
Evaluating generation: 13
		Individual Median F1: 0.8532501921927051
		Individual Median F1: 0.8479166666666667
		Individual Median F1: 0.8519436355549128
		Individual Median F1: 0.8526783805737249
		Individual Median F1: 0.8479166666666667
		Individual Median F1: 0.8526783805737249
		Individual Median F1: 0.8484340044742729
		Individual Median F1: 0.8532120120330208
		Individual Median F1: 0.8509651076466221
		Individual Median F1: 0.8479166666666667
		Individual Median F1: 0.8526783805737249
		Individual Median F1: 0.8479166666666667
		Individual Median F1: 0.838078967350038
		Individual Median F1: 0.8412782917418637
		Individual Median F1: 0.8479166666666667
		Individual Median F1: 0.841355228388071
		Individual Median F1: 0.8374192322310908
		Individual Median F1: 0.8427374690378782
		Individual Median F1: 0.8484340044742729
		Individual Median F1: 0.8519436355549128
		Individual Median F1: 0.8526783805737249
		Individual Median F1: 0.838078967350038
		Individual Median F1: 0.8532501921927051
		Individual Median F1: 0.838078967350038
		Individual Median F1: 0.8479166666666667
		Individual Median F1: 0.8484340044742729
		Individual Median F1: 0.8527530667726737
		Individual Median F1: 0.8526783805737249
		Individual Median F1: 0.8479166666666667
		Individual Median F1: 0.8479166666666667
	Average F1 score:	0.7868876386110603
	Best Individual F1 score:	0.8519436355549128
	F1:	0.8519436355549128
	Extends:	0.7949921014007229
	Implements:	0.8793277540439939
	Field:	0.9697531893905375
	Argument:	0.5232397077204036
	Returns:	0.9850795695079971
	LocalVar:	0.36141101320734514
	MethodCall:	0.04308722308571067
	ConstructorCall:	0.9870515980945805
	OwnFieldUse:	0.9896351750211895
	FieldUse:	0.04938594872837798
	Throws:	0.34120351696284035
	File_Horizontal:	0.965437264902495
	File_LevelUp:	0.15485304978649383
	File_LevelDown:	0.3521254935374693
	Unknown:	0.904508205055439
Evaluating generation: 14
		Individual Median F1: 0.8266375880012244
		Individual Median F1: 0.8273173139699677
		Individual Median F1: 0.8273173139699677
		Individual Median F1: 0.8273173139699677
		Individual Median F1: 0.8279954701327785
		Individual Median F1: 0.8265098664540562
		Individual Median F1: 0.8265098664540562
		Individual Median F1: 0.8286720619215115
		Individual Median F1: 0.8184616180426236
		Individual Median F1: 0.8190792946890508
		Individual Median F1: 0.8265098664540562
		Individual Median F1: 0.8209336592299825
		Individual Median F1: 0.8209336592299825
		Individual Median F1: 0.8227880474727949
		Individual Median F1: 0.822301009437171
		Individual Median F1: 0.8227880474727949
		Individual Median F1: 0.8279954701327785
		Individual Median F1: 0.8273173139699677
		Individual Median F1: 0.8264915161466886
		Individual Median F1: 0.8273173139699677
		Individual Median F1: 0.8273173139699677
		Individual Median F1: 0.8225779524323213
		Individual Median F1: 0.8273173139699677
		Individual Median F1: 0.8273173139699677
		Individual Median F1: 0.8209336592299825
		Individual Median F1: 0.8190792946890508
		Individual Median F1: 0.8234709294498188
		Individual Median F1: 0.8273173139699677
		Individual Median F1: 0.8227880474727949
		Individual Median F1: 0.8229823106688778
	Average F1 score:	0.743330687356215
	Best Individual F1 score:	0.8273173139699677
	F1:	0.8273173139699677
	Extends:	0.8946965433404411
	Implements:	0.8793277540439939
	Field:	0.8051749749042352
	Argument:	0.21537185976770834
	Returns:	0.9850795695079971
	LocalVar:	0.36141101320734514
	MethodCall:	0.04308722308571067
	ConstructorCall:	0.9870515980945805
	OwnFieldUse:	0.9896351750211895
	FieldUse:	0.04938594872837798
	Throws:	0.17956029491456693
	File_Horizontal:	0.7884449893084731
	File_LevelUp:	0.15485304978649383
	File_LevelDown:	0.3521254935374693
	Unknown:	0.1797368297788997
Evaluating generation: 15
		Individual Median F1: 0.843831311458791
		Individual Median F1: 0.8476996061582529
		Individual Median F1: 0.843831311458791
		Individual Median F1: 0.843831311458791
		Individual Median F1: 0.8438410851394419
		Individual Median F1: 0.8563989530238325
		Individual Median F1: 0.8448226424005263
		Individual Median F1: 0.8448226424005263
		Individual Median F1: 0.8564422992153751
		Individual Median F1: 0.8448226424005263
		Individual Median F1: 0.8448226424005263
		Individual Median F1: 0.8564422992153751
		Individual Median F1: 0.8419297968040143
		Individual Median F1: 0.8089961509957206
		Individual Median F1: 0.8354913933294468
		Individual Median F1: 0.8526333305599468
		Individual Median F1: 0.843831311458791
		Individual Median F1: 0.856236600031967
		Individual Median F1: 0.843831311458791
		Individual Median F1: 0.843831311458791
		Individual Median F1: 0.8573605457146001
		Individual Median F1: 0.8448226424005263
		Individual Median F1: 0.8448226424005263
		Individual Median F1: 0.843831311458791
		Individual Median F1: 0.8448226424005263
		Individual Median F1: 0.8448226424005263
		Individual Median F1: 0.8573605457146001
		Individual Median F1: 0.8535949232507144
