g3n3z: optimization of dependency weights using a genetic algorithm approach.
	g3n3z is a part of s4rdm3x tobias-dv-lnu.github.io/s4rdm3x/

Algorithm Parameters:
	system:	Apache
	File_LevelUp:	0.23076014386837052
	File_LevelDown:	0.21176688295009616
	Unknown:	0.06840169557540399
Evaluating generation: 3
		Individual Median F1: 0.8023529411764706
		Individual Median F1: 0.7981042654028435
		Individual Median F1: 0.7815122901678657
		Individual Median F1: 0.7770984299516908
		Individual Median F1: 0.7916666666666666
		Individual Median F1: 0.7839662447257384
		Individual Median F1: 0.7923444976076555
		Individual Median F1: 0.7991769547325103
		Individual Median F1: 0.7898019547325102
		Individual Median F1: 0.7693484042553191
		Individual Median F1: 0.7891213389121339
		Individual Median F1: 0.8027382453611962
		Individual Median F1: 0.7994490358126722
		Individual Median F1: 0.7981042654028436
		Individual Median F1: 0.7916666666666667
		Individual Median F1: 0.7966942148760331
		Individual Median F1: 0.789121338912134
		Individual Median F1: 0.7813559322033898
		Individual Median F1: 0.7910614525139665
		Individual Median F1: 0.7916666666666667
		Individual Median F1: 0.789121338912134
		Individual Median F1: 0.7854617256738761
		Individual Median F1: 0.7941908713692947
		Individual Median F1: 0.7806818181818183
		Individual Median F1: 0.7815122901678657
		Individual Median F1: 0.7733905579399142
		Individual Median F1: 0.8054054054054054
		Individual Median F1: 0.7839662447257385
		Individual Median F1: 0.7966942148760331
		Individual Median F1: 0.7709885976254849
	Average F1 score:	0.7611825387650041
	Best Individual F1 score:	0.8023529411764706
	F1:	0.8023529411764706
	Extends:	0.7286100069712736
	Implements:	0.654273818587676
	Field:	0.49230000898976833
	Argument:	0.05835945592041403
	Returns:	0.04453099860846299
	LocalVar:	0.8715674315818318
	MethodCall:	0.4734749186770437
	ConstructorCall:	0.3124508594860187
	OwnFieldUse:	0.4260063599511691
	FieldUse:	0.5384780021705013
	Throws:	0.04359143514421082
	File_Horizontal:	0.8452686528631513
	File_LevelUp:	0.23076014386837052
	File_LevelDown:	0.21176688295009616
	Unknown:	0.06840169557540399
Evaluating generation: 4
		Individual Median F1: 0.8140142021720969
		Individual Median F1: 0.7941908713692947
		Individual Median F1: 0.8237868852459016
		Individual Median F1: 0.8093157894736841
		Individual Median F1: 0.7981042654028436
		Individual Median F1: 0.8206238206238206
		Individual Median F1: 0.8198645364769144
		Individual Median F1: 0.7934426229508197
		Individual Median F1: 0.8102226720647774
		Individual Median F1: 0.8023529411764706
		Individual Median F1: 0.8178506375227687
		Individual Median F1: 0.8159254079254079
		Individual Median F1: 0.8204852979443142
		Individual Median F1: 0.8173023255813954
		Individual Median F1: 0.7749999999999999
		Individual Median F1: 0.8155909746818837
		Individual Median F1: 0.7991769547325103
		Individual Median F1: 0.8238648907204357
		Individual Median F1: 0.7937947494033413
		Individual Median F1: 0.8016393442622951
		Individual Median F1: 0.8217893217893218
		Individual Median F1: 0.8102226720647774
		Individual Median F1: 0.8294123006833712
		Individual Median F1: 0.7637945709059959
		Individual Median F1: 0.808
		Individual Median F1: 0.8144407033295922
		Individual Median F1: 0.803755868544601
		Individual Median F1: 0.7934426229508196
		Individual Median F1: 0.7937228209491398
		Individual Median F1: 0.7933333333333333
	Average F1 score:	0.7803665334018813
	Best Individual F1 score:	0.8217893217893218
	F1:	0.8217893217893218
	Extends:	0.9339466251647588
	Implements:	0.654273818587676
	Field:	0.49230000898976833
	Argument:	0.05835945592041403
	Returns:	0.8313314971041116
	LocalVar:	0.8021065183496872
	MethodCall:	0.023676523279491102
	ConstructorCall:	0.7976689991514748
	OwnFieldUse:	0.48372762353756393
	FieldUse:	0.6792606192673519
	Throws:	0.04359143514421082
	File_Horizontal:	0.10692353413634192
	File_LevelUp:	0.23076014386837052
	File_LevelDown:	0.5118194264050673
	Unknown:	0.2815932228115158
Evaluating generation: 5
		Individual Median F1: 0.788570374724806
		Individual Median F1: 0.8051715051412296
		Individual Median F1: 0.7990155677655677
		Individual Median F1: 0.8035353535353535
		Individual Median F1: 0.8007648252863564
		Individual Median F1: 0.7813172381032218
		Individual Median F1: 0.7968697050630367
		Individual Median F1: 0.7760493459764362
		Individual Median F1: 0.8043608971377358
		Individual Median F1: 0.7914763902733026
		Individual Median F1: 0.7891435866126436
		Individual Median F1: 0.7794323379069141
		Individual Median F1: 0.7979778212654924
		Individual Median F1: 0.7762922412885568
		Individual Median F1: 0.8051629495771185
		Individual Median F1: 0.8066933105397309
		Individual Median F1: 0.7696091437901827
		Individual Median F1: 0.7774952919020716
		Individual Median F1: 0.7721325981893676
		Individual Median F1: 0.7902518626921491
		Individual Median F1: 0.7763267261175211
		Individual Median F1: 0.7885703747248061
		Individual Median F1: 0.7751571944343029
		Individual Median F1: 0.7862847797076147
		Individual Median F1: 0.7756636716356954
		Individual Median F1: 0.7840736908854253
		Individual Median F1: 0.7911938534278959
		Individual Median F1: 0.7774778158598996
		Individual Median F1: 0.8109219923231026
		Individual Median F1: 0.801913766588825
	Average F1 score:	0.8000027208872842
	Best Individual F1 score:	0.8043608971377358
	F1:	0.8043608971377358
	Extends:	0.7286100069712736
	Implements:	0.654273818587676
	Field:	0.49230000898976833
	Argument:	0.05835945592041403
	Returns:	0.8313314971041116
	LocalVar:	0.8715674315818318
	MethodCall:	0.004750693200099465
	ConstructorCall:	0.7976689991514748
	OwnFieldUse:	0.4260063599511691
	FieldUse:	0.6792606192673519
	Throws:	0.04359143514421082
	File_Horizontal:	0.8452686528631513
	File_LevelUp:	0.23076014386837052
	File_LevelDown:	0.5118194264050673
	Unknown:	0.06840169557540399
Evaluating generation: 6
		Individual Median F1: 0.8238954248366013
		Individual Median F1: 0.8132287581699347
		Individual Median F1: 0.8266769073220686
		Individual Median F1: 0.8084545646215476
		Individual Median F1: 0.8180168032361788
		Individual Median F1: 0.818897776215171
		Individual Median F1: 0.8327804147739839
		Individual Median F1: 0.8123167155425219
		Individual Median F1: 0.7944958673963471
		Individual Median F1: 0.8380714200649892
		Individual Median F1: 0.8059945504087194
		Individual Median F1: 0.8287694914082218
		Individual Median F1: 0.8327804147739839
		Individual Median F1: 0.8196053867835892
		Individual Median F1: 0.8004667891031528
		Individual Median F1: 0.804324707550514
		Individual Median F1: 0.8219784946236559
		Individual Median F1: 0.7934426229508198
		Individual Median F1: 0.8032258064516129
		Individual Median F1: 0.8369869954399595
		Individual Median F1: 0.8287694914082218
		Individual Median F1: 0.8256018075953766
		Individual Median F1: 0.8143426528339488
		Individual Median F1: 0.8287694914082219
		Individual Median F1: 0.8180168032361788
		Individual Median F1: 0.8301435406698565
		Individual Median F1: 0.8258968532672313
		Individual Median F1: 0.812071624974851
		Individual Median F1: 0.8203989218328842
		Individual Median F1: 0.8314132104454686
	Average F1 score:	0.7883687995922631
	Best Individual F1 score:	0.8219784946236559
	F1:	0.8219784946236559
	Extends:	0.9339466251647588
	Implements:	0.654273818587676
	Field:	0.49230000898976833
	Argument:	0.4561776471147432
	Returns:	0.6558884647878856
	LocalVar:	0.4950768032714573
	MethodCall:	0.4734749186770437
	ConstructorCall:	0.3124508594860187
	OwnFieldUse:	0.7278904119339156
	FieldUse:	0.6792606192673519
	Throws:	0.04359143514421082
	File_Horizontal:	0.10692353413634192
	File_LevelUp:	0.38188782228683027
	File_LevelDown:	0.21176688295009616
	Unknown:	0.017759549353599913
Evaluating generation: 7
		Individual Median F1: 0.8164086416513601
		Individual Median F1: 0.812571529183907
		Individual Median F1: 0.8112903225806452
		Individual Median F1: 0.8296760710553814
		Individual Median F1: 0.8054526015680684
		Individual Median F1: 0.7991769547325103
		Individual Median F1: 0.8244631185807656
		Individual Median F1: 0.8190600238793011
		Individual Median F1: 0.8027397260273972
		Individual Median F1: 0.8296760710553813
		Individual Median F1: 0.8225806451612904
		Individual Median F1: 0.7994490358126721
		Individual Median F1: 0.8112903225806452
		Individual Median F1: 0.8233931473222003
		Individual Median F1: 0.8196901138077608
		Individual Median F1: 0.8190600238793009
		Individual Median F1: 0.8288770053475936
		Individual Median F1: 0.8169433962264151
		Individual Median F1: 0.823732098632497
		Individual Median F1: 0.8125366064834857
		Individual Median F1: 0.8097826086956523
		Individual Median F1: 0.8254193243562484
		Individual Median F1: 0.8335602836879432
		Individual Median F1: 0.8225806451612904
		Individual Median F1: 0.8273143037375807
		Individual Median F1: 0.8233931473222003
		Individual Median F1: 0.823055028462998
		Individual Median F1: 0.8310529887113688
		Individual Median F1: 0.8021739130434784
		Individual Median F1: 0.8386243386243386
	Average F1 score:	0.7809698791164259
	Best Individual F1 score:	0.8386243386243386
	F1:	0.8386243386243386
	Extends:	0.7286100069712736
	Implements:	0.654273818587676
	Field:	0.49230000898976833
	Argument:	0.4561776471147432
	Returns:	0.04453099860846299
	LocalVar:	0.6419129906527741
	MethodCall:	0.004750693200099465
	ConstructorCall:	0.3124508594860187
	OwnFieldUse:	0.4260063599511691
	FieldUse:	0.6792606192673519
	Throws:	0.04359143514421082
	File_Horizontal:	0.8452686528631513
	File_LevelUp:	0.23076014386837052
	File_LevelDown:	0.21176688295009616
	Unknown:	0.21173168264630815
Evaluating generation: 8
		Individual Median F1: 0.808
		Individual Median F1: 0.8086312118570183
		Individual Median F1: 0.8275920297196893
		Individual Median F1: 0.818103818103818
		Individual Median F1: 0.8166021505376344
		Individual Median F1: 0.814872325741891
		Individual Median F1: 0.8194967476891475
		Individual Median F1: 0.8197647058823528
		Individual Median F1: 0.8166021505376344
		Individual Median F1: 0.818103818103818
		Individual Median F1: 0.8101739130434782
		Individual Median F1: 0.8154489386658594
		Individual Median F1: 0.8312287641361124
		Individual Median F1: 0.8103919302301146
		Individual Median F1: 0.8134054054054054
		Individual Median F1: 0.8302222222222222
		Individual Median F1: 0.8101739130434782
		Individual Median F1: 0.8119094704460558
		Individual Median F1: 0.8073074391046742
		Individual Median F1: 0.814872325741891
		Individual Median F1: 0.827968992248062
		Individual Median F1: 0.8192750043659407
		Individual Median F1: 0.818103818103818
		Individual Median F1: 0.8198924731182797
		Individual Median F1: 0.8148723257418911
		Individual Median F1: 0.8256016385048642
		Individual Median F1: 0.8118279569892473
		Individual Median F1: 0.8126984126984127
		Individual Median F1: 0.8310550194334019
		Individual Median F1: 0.8108108108108109
	Average F1 score:	0.7680723417497345
	Best Individual F1 score:	0.8198924731182797
	F1:	0.8198924731182797
	Extends:	0.9339466251647588
	Implements:	0.654273818587676
	Field:	0.49230000898976833
	Argument:	0.05835945592041403
	Returns:	0.04453099860846299
	LocalVar:	0.6419129906527741
	MethodCall:	0.023676523279491102
	ConstructorCall:	0.3124508594860187
	OwnFieldUse:	0.4260063599511691
	FieldUse:	0.6792606192673519
	Throws:	0.04359143514421082
	File_Horizontal:	0.10692353413634192
	File_LevelUp:	0.23076014386837052
	File_LevelDown:	0.5118194264050673
	Unknown:	0.017759549353599913
Evaluating generation: 9
		Individual Median F1: 0.8263530311723083
		Individual Median F1: 0.8297258297258298
		Individual Median F1: 0.8274176023180007
		Individual Median F1: 0.8259530791788856
		Individual Median F1: 0.8250909090909091
		Individual Median F1: 0.8274176023180008
		Individual Median F1: 0.8262035897103609
		Individual Median F1: 0.8447999011857708
		Individual Median F1: 0.8390734977756427
		Individual Median F1: 0.8406032579260926
		Individual Median F1: 0.834449075828386
		Individual Median F1: 0.8381232137186407
		Individual Median F1: 0.8390734977756427
		Individual Median F1: 0.8301296053589632
		Individual Median F1: 0.8365771144278606
		Individual Median F1: 0.8362371409882856
		Individual Median F1: 0.8313053669297852
		Individual Median F1: 0.8240430622009569
		Individual Median F1: 0.8390734977756427
		Individual Median F1: 0.8542921105450054
		Individual Median F1: 0.8527863777089784
		Individual Median F1: 0.8365771144278606
		Individual Median F1: 0.8352332824068633
		Individual Median F1: 0.8315495978552279
		Individual Median F1: 0.8385453683961147
		Individual Median F1: 0.8362371409882856
		Individual Median F1: 0.8362371409882856
		Individual Median F1: 0.8419467289403324
		Individual Median F1: 0.8539215686274509
		Individual Median F1: 0.8385453683961146
	Average F1 score:	0.8244754724901316
	Best Individual F1 score:	0.8542921105450054
	F1:	0.8542921105450054
	Extends:	0.7286100069712736
	Implements:	0.750338770691535
	Field:	0.880168550723577
	Argument:	0.4107138843431336
	Returns:	0.6558884647878856
	LocalVar:	0.6419129906527741
	MethodCall:	0.004750693200099465
	ConstructorCall:	0.3124508594860187
	OwnFieldUse:	0.7278904119339156
	FieldUse:	0.6792606192673519
	Throws:	0.04359143514421082
	File_Horizontal:	0.8452686528631513
	File_LevelUp:	0.23076014386837052
	File_LevelDown:	0.21176688295009616
	Unknown:	0.21173168264630815
Evaluating generation: 10
		Individual Median F1: 0.8071661237785017
		Individual Median F1: 0.8160730063695947
		Individual Median F1: 0.8169934640522875
		Individual Median F1: 0.8165190807505798
		Individual Median F1: 0.8045415959252972
		Individual Median F1: 0.7991769547325104
		Individual Median F1: 0.8246679316888045
		Individual Median F1: 0.8273143037375809
		Individual Median F1: 0.8166957279860506
		Individual Median F1: 0.8244631185807656
		Individual Median F1: 0.8134054054054053
		Individual Median F1: 0.808
		Individual Median F1: 0.7991769547325103
		Individual Median F1: 0.8089068825910932
		Individual Median F1: 0.8290875405280222
		Individual Median F1: 0.8032258064516129
		Individual Median F1: 0.7991769547325103
		Individual Median F1: 0.8097298714922634
		Individual Median F1: 0.8089433962264152
		Individual Median F1: 0.8212287581699347
		Individual Median F1: 0.8208207422523972
		Individual Median F1: 0.8126984126984127
		Individual Median F1: 0.8040816326530612
		Individual Median F1: 0.8160730063695948
		Individual Median F1: 0.8117647058823529
		Individual Median F1: 0.7991769547325103
		Individual Median F1: 0.81063416357534
		Individual Median F1: 0.8054054054054054
		Individual Median F1: 0.8084545646215476
		Individual Median F1: 0.8274894094829786
	Average F1 score:	0.798333967767862
	Best Individual F1 score:	0.8273143037375809
	F1:	0.8273143037375809
	Extends:	0.9339466251647588
	Implements:	0.750338770691535
	Field:	0.49230000898976833
	Argument:	0.4561776471147432
	Returns:	0.8313314971041116
	LocalVar:	0.4950768032714573
	MethodCall:	0.004750693200099465
	ConstructorCall:	0.3124508594860187
	OwnFieldUse:	0.7278904119339156
	FieldUse:	0.6792606192673519
	Throws:	0.04359143514421082
	File_Horizontal:	0.10692353413634192
	File_LevelUp:	0.23076014386837052
	File_LevelDown:	0.5118194264050673
	Unknown:	0.06840169557540399
Evaluating generation: 11
		Individual Median F1: 0.8078375011976621
		Individual Median F1: 0.8102599335852512
		Individual Median F1: 0.8102599335852512
		Individual Median F1: 0.821152224824356
		Individual Median F1: 0.8040816326530612
		Individual Median F1: 0.821152224824356
		Individual Median F1: 0.7923444976076556
		Individual Median F1: 0.7923444976076555
		Individual Median F1: 0.8160075596503662
		Individual Median F1: 0.8102599335852513
		Individual Median F1: 0.8197558685446009
		Individual Median F1: 0.8160075596503662
		Individual Median F1: 0.8145980147003107
		Individual Median F1: 0.8089068825910931
		Individual Median F1: 0.8197558685446009
		Individual Median F1: 0.7953488372093024
		Individual Median F1: 0.8160075596503662
		Individual Median F1: 0.8174104870184964
		Individual Median F1: 0.8089846267145355
		Individual Median F1: 0.8136546184738956
		Individual Median F1: 0.8078375011976622
		Individual Median F1: 0.8183529411764706
		Individual Median F1: 0.7993399339933994
		Individual Median F1: 0.8116562898650064
		Individual Median F1: 0.7993399339933993
		Individual Median F1: 0.8160075596503662
		Individual Median F1: 0.816943396226415
		Individual Median F1: 0.8174104870184965
		Individual Median F1: 0.8102599335852514
		Individual Median F1: 0.8197558685446009
	Average F1 score:	0.7709278498619226
	Best Individual F1 score:	0.8197558685446009
	F1:	0.8197558685446009
	Extends:	0.9339466251647588
	Implements:	0.654273818587676
	Field:	0.17375285370937765
	Argument:	0.4561776471147432
	Returns:	0.8313314971041116
	LocalVar:	0.6419129906527741
	MethodCall:	0.023676523279491102
	ConstructorCall:	0.3124508594860187
	OwnFieldUse:	0.4260063599511691
	FieldUse:	0.6792606192673519
	Throws:	0.04359143514421082
	File_Horizontal:	0.8452686528631513
	File_LevelUp:	0.23076014386837052
	File_LevelDown:	0.21176688295009616
	Unknown:	0.2815932228115158
Evaluating generation: 12
		Individual Median F1: 0.7948919449901768
		Individual Median F1: 0.8013157894736842
		Individual Median F1: 0.7973509933774834
		Individual Median F1: 0.7993399339933993
		Individual Median F1: 0.7993399339933993
		Individual Median F1: 0.7993399339933993
		Individual Median F1: 0.7948919449901769
		Individual Median F1: 0.8013157894736842
		Individual Median F1: 0.7972602739726027
		Individual Median F1: 0.7972602739726027
		Individual Median F1: 0.805152224824356
		Individual Median F1: 0.7948919449901768
		Individual Median F1: 0.8037558685446009
		Individual Median F1: 0.8065510597302505
		Individual Median F1: 0.8065510597302505
		Individual Median F1: 0.7995271867612294
		Individual Median F1: 0.7993399339933993
		Individual Median F1: 0.7924983692106979
		Individual Median F1: 0.8013157894736842
		Individual Median F1: 0.7925049309664693
		Individual Median F1: 0.8065510597302504
		Individual Median F1: 0.8054054054054054
		Individual Median F1: 0.8013157894736842
		Individual Median F1: 0.7993399339933993
		Individual Median F1: 0.8120370370370371
		Individual Median F1: 0.8192494724286632
		Individual Median F1: 0.8009433962264152
		Individual Median F1: 0.7981042654028436
		Individual Median F1: 0.7953488372093024
		Individual Median F1: 0.8065510597302505
	Average F1 score:	0.7980398732677133
	Best Individual F1 score:	0.7948919449901768
	F1:	0.7948919449901768
	Extends:	0.7286100069712736
	Implements:	0.654273818587676
	Field:	0.17375285370937765
	Argument:	0.4107138843431336
	Returns:	0.8313314971041116
	LocalVar:	0.4950768032714573
	MethodCall:	0.004750693200099465
	ConstructorCall:	0.3124508594860187
	OwnFieldUse:	0.4260063599511691
	FieldUse:	0.8744621695113632
	Throws:	0.04359143514421082
	File_Horizontal:	0.8452686528631513
	File_LevelUp:	0.23076014386837052
	File_LevelDown:	0.21176688295009616
	Unknown:	0.2815932228115158
Evaluating generation: 13
		Individual Median F1: 0.8244145128018444
		Individual Median F1: 0.8353774708263872
		Individual Median F1: 0.8244145128018444
		Individual Median F1: 0.8315650662350895
		Individual Median F1: 0.8246578547198502
		Individual Median F1: 0.8315650662350895
		Individual Median F1: 0.8227455275648047
		Individual Median F1: 0.8315650662350895
		Individual Median F1: 0.8315650662350895
		Individual Median F1: 0.8292007703418391
		Individual Median F1: 0.8289136840071487
		Individual Median F1: 0.8227455275648048
		Individual Median F1: 0.8268173303522871
		Individual Median F1: 0.8315650662350895
		Individual Median F1: 0.8203812316715542
		Individual Median F1: 0.8227455275648047
		Individual Median F1: 0.8181818181818181
		Individual Median F1: 0.8292007703418391
		Individual Median F1: 0.8222935588265998
		Individual Median F1: 0.8315650662350895
		Individual Median F1: 0.8450009396729938
		Individual Median F1: 0.811732823210585
		Individual Median F1: 0.8315650662350896
		Individual Median F1: 0.8292007703418391
		Individual Median F1: 0.8268173303522871
		Individual Median F1: 0.8244145128018444
		Individual Median F1: 0.8323429541595926
		Individual Median F1: 0.8227455275648048
		Individual Median F1: 0.8353774708263871
		Individual Median F1: 0.8418965733127426
	Average F1 score:	0.8241204225503428
	Best Individual F1 score:	0.8353774708263872
	F1:	0.8353774708263872
	Extends:	0.7286100069712736
	Implements:	0.654273818587676
	Field:	0.17375285370937765
	Argument:	0.4107138843431336
	Returns:	0.8313314971041116
	LocalVar:	0.4950768032714573
	MethodCall:	0.004750693200099465
	ConstructorCall:	0.3124508594860187
	OwnFieldUse:	0.4260063599511691
	FieldUse:	0.8744621695113632
	Throws:	0.04359143514421082
	File_Horizontal:	0.8452686528631513
	File_LevelUp:	0.23076014386837052
	File_LevelDown:	0.21176688295009616
	Unknown:	0.2815932228115158
Evaluating generation: 14
		Individual Median F1: 0.8511586999652287
		Individual Median F1: 0.8511586999652287
		Individual Median F1: 0.8460076960076961
		Individual Median F1: 0.8490838618745595
		Individual Median F1: 0.8435664128774385
		Individual Median F1: 0.8498029279279279
		Individual Median F1: 0.8400501073729421
		Individual Median F1: 0.8374309687261632
		Individual Median F1: 0.8582632039332792
		Individual Median F1: 0.8460076960076961
		Individual Median F1: 0.8504403587807947
		Individual Median F1: 0.8420877659574468
		Individual Median F1: 0.8582632039332792
		Individual Median F1: 0.8397515083158781
		Individual Median F1: 0.8481907894736842
		Individual Median F1: 0.8537667698658411
		Individual Median F1: 0.8496370124277102
		Individual Median F1: 0.8496370124277102
		Individual Median F1: 0.8435664128774385
		Individual Median F1: 0.8477425078864353
		Individual Median F1: 0.8420877659574468
		Individual Median F1: 0.8366560846560847
		Individual Median F1: 0.8504403587807947
		Individual Median F1: 0.8511586999652287
		Individual Median F1: 0.8460076960076961
		Individual Median F1: 0.8542845170752147
		Individual Median F1: 0.8496370124277102
		Individual Median F1: 0.8498029279279278
		Individual Median F1: 0.8498029279279279
		Individual Median F1: 0.8473167044595615
	Average F1 score:	0.812570242627145
	Best Individual F1 score:	0.8504403587807947
	F1:	0.8504403587807947
	Extends:	0.7286100069712736
	Implements:	0.654273818587676
	Field:	0.17375285370937765
	Argument:	0.4107138843431336
	Returns:	0.8313314971041116
	LocalVar:	0.4950768032714573
	MethodCall:	0.004750693200099465
	ConstructorCall:	0.3124508594860187
	OwnFieldUse:	0.4260063599511691
	FieldUse:	0.8744621695113632
	Throws:	0.04359143514421082
	File_Horizontal:	0.8452686528631513
	File_LevelUp:	0.23076014386837052
	File_LevelDown:	0.21176688295009616
	Unknown:	0.2815932228115158
Evaluating generation: 15
		Individual Median F1: 0.8449249011857708
		Individual Median F1: 0.8515347500256647
		Individual Median F1: 0.8426349206349206
		Individual Median F1: 0.8492806200272087
		Individual Median F1: 0.8515347500256647
		Individual Median F1: 0.8537712696335078
		Individual Median F1: 0.8460506329113924
		Individual Median F1: 0.8494996392383223
		Individual Median F1: 0.8470086708192787
		Individual Median F1: 0.8472276900303923
		Individual Median F1: 0.8442222222222222
		Individual Median F1: 0.8463059918557301
		Individual Median F1: 0.8449249011857708
		Individual Median F1: 0.845147123407993
		Individual Median F1: 0.8449249011857708
		Individual Median F1: 0.8460822367383003
		Individual Median F1: 0.8494996392383223
		Individual Median F1: 0.8449377094795422
		Individual Median F1: 0.8442222222222222
		Individual Median F1: 0.8478675078864353
		Individual Median F1: 0.8515347500256647
		Individual Median F1: 0.8481344025449002
		Individual Median F1: 0.8515347500256647
		Individual Median F1: 0.8478675078864354
		Individual Median F1: 0.8481344025449002
		Individual Median F1: 0.8426349206349206
		Individual Median F1: 0.8483722172891506
