g3n3z: optimization of dependency weights using a genetic algorithm approach.
	g3n3z is a part of s4rdm3x tobias-dv-lnu.github.io/s4rdm3x/

Algorithm Parameters:
	system:	TeamMates
	File_Horizontal:	0.45702801830012174
	File_LevelUp:	0.9453816341554178
	File_LevelDown:	0.9336065171857251
	Unknown:	0.06910751574856722
Evaluating generation: 3
		Individual Median F1: 0.4637606263404046
		Individual Median F1: 0.4960307169805007
		Individual Median F1: 0.4525730994152046
		Individual Median F1: 0.46149560079302354
		Individual Median F1: 0.4405278058244739
		Individual Median F1: 0.49565217391304345
		Individual Median F1: 0.47684897250511804
		Individual Median F1: 0.48926109655723393
		Individual Median F1: 0.4793784353587832
		Individual Median F1: 0.4761040532365396
		Individual Median F1: 0.48960851576161213
		Individual Median F1: 0.45886769832631363
		Individual Median F1: 0.4923675023801968
		Individual Median F1: 0.42648526077097504
		Individual Median F1: 0.5101527022306502
		Individual Median F1: 0.4793784353587832
		Individual Median F1: 0.45931434934775695
		Individual Median F1: 0.4351964438774494
		Individual Median F1: 0.4711350014270764
		Individual Median F1: 0.47367668097281834
		Individual Median F1: 0.4610698207968227
		Individual Median F1: 0.40992544331920344
		Individual Median F1: 0.4610004365252589
		Individual Median F1: 0.46257763975155275
		Individual Median F1: 0.4810547370200299
		Individual Median F1: 0.4804022578014879
		Individual Median F1: 0.5037961073099682
		Individual Median F1: 0.4655335656519166
		Individual Median F1: 0.47914529914529913
		Individual Median F1: 0.44256120527306964
	Average F1 score:	0.4408275397830446
	Best Individual F1 score:	0.5101527022306502
	F1:	0.5101527022306502
	Extends:	0.5630557574556264
	Implements:	0.192583537083845
	Field:	0.6835756378270296
	Argument:	0.8717341044985409
	Returns:	0.961477519013942
	LocalVar:	0.6615364691259945
	MethodCall:	0.005817163375733458
	ConstructorCall:	0.7657265843138441
	OwnFieldUse:	0.4967735331171781
	FieldUse:	0.041619711915585444
	Throws:	0.5615687972606513
	File_Horizontal:	0.20163168151738575
	File_LevelUp:	0.3366444664666449
	File_LevelDown:	0.6921678609051894
	Unknown:	0.06910751574856722
Evaluating generation: 4
		Individual Median F1: 0.45211598152774624
		Individual Median F1: 0.475716730851519
		Individual Median F1: 0.4358974358974359
		Individual Median F1: 0.4875880758807588
		Individual Median F1: 0.4971526861608857
		Individual Median F1: 0.4380276933468423
		Individual Median F1: 0.4618916437098255
		Individual Median F1: 0.43178942039989876
		Individual Median F1: 0.46557527942143323
		Individual Median F1: 0.4477737969083784
		Individual Median F1: 0.4992409867172676
		Individual Median F1: 0.4960453064416959
		Individual Median F1: 0.44244694132334583
		Individual Median F1: 0.46003610700804204
		Individual Median F1: 0.5129082969432315
		Individual Median F1: 0.44246031746031744
		Individual Median F1: 0.44069069069069067
		Individual Median F1: 0.4425612052730697
		Individual Median F1: 0.49792500370535053
		Individual Median F1: 0.4371543489190548
		Individual Median F1: 0.49625711377743376
		Individual Median F1: 0.49625711377743376
		Individual Median F1: 0.5147221755917408
		Individual Median F1: 0.5264163672160038
		Individual Median F1: 0.45550602608552093
		Individual Median F1: 0.4668409136925031
		Individual Median F1: 0.478412080701777
		Individual Median F1: 0.435374149659864
		Individual Median F1: 0.4462823725981621
		Individual Median F1: 0.48906302581606653
	Average F1 score:	0.48553747303777717
	Best Individual F1 score:	0.5264163672160038
	F1:	0.5264163672160038
	Extends:	0.7913030834519117
	Implements:	0.40163333072076735
	Field:	0.6835756378270296
	Argument:	0.5138126024434284
	Returns:	0.9385498611265414
	LocalVar:	0.4989186568676617
	MethodCall:	0.005817163375733458
	ConstructorCall:	0.8154464890314443
	OwnFieldUse:	0.5628731877750208
	FieldUse:	0.041619711915585444
	Throws:	0.45773532496261793
	File_Horizontal:	0.20163168151738575
	File_LevelUp:	0.9822771084665274
	File_LevelDown:	0.4450466284178576
	Unknown:	0.06910751574856722
Evaluating generation: 5
		Individual Median F1: 0.5555772264448586
		Individual Median F1: 0.4937919997572926
		Individual Median F1: 0.5347985347985347
		Individual Median F1: 0.4981919645650079
		Individual Median F1: 0.5226206896551725
		Individual Median F1: 0.5310454545454546
		Individual Median F1: 0.5021551724137931
		Individual Median F1: 0.4727855272926191
		Individual Median F1: 0.49704260651629073
		Individual Median F1: 0.46336797206598784
		Individual Median F1: 0.4552201899991226
		Individual Median F1: 0.47738660935092514
		Individual Median F1: 0.5091530502364343
		Individual Median F1: 0.5066023341168708
		Individual Median F1: 0.47953216374269003
		Individual Median F1: 0.47804151451085913
		Individual Median F1: 0.5384476940382452
		Individual Median F1: 0.5017990828689045
		Individual Median F1: 0.5280449438202247
		Individual Median F1: 0.5054018987736567
		Individual Median F1: 0.4570101881084272
		Individual Median F1: 0.5037634408602151
		Individual Median F1: 0.514
		Individual Median F1: 0.5323027432758467
		Individual Median F1: 0.4888164214571009
		Individual Median F1: 0.46722710980775495
		Individual Median F1: 0.49915895710681246
		Individual Median F1: 0.5078965136768605
		Individual Median F1: 0.5097365149268264
		Individual Median F1: 0.4652273675427617
	Average F1 score:	0.4879325546265102
	Best Individual F1 score:	0.5347985347985347
	F1:	0.5347985347985347
	Extends:	0.7913030834519117
	Implements:	0.40163333072076735
	Field:	0.6835756378270296
	Argument:	0.5138126024434284
	Returns:	0.961477519013942
	LocalVar:	0.2654723429796939
	MethodCall:	0.005817163375733458
	ConstructorCall:	0.8154464890314443
	OwnFieldUse:	0.5628731877750208
	FieldUse:	0.041619711915585444
	Throws:	0.45773532496261793
	File_Horizontal:	0.6870280135925196
	File_LevelUp:	0.9822771084665274
	File_LevelDown:	0.4450466284178576
	Unknown:	0.06910751574856722
Evaluating generation: 6
		Individual Median F1: 0.5435965101249463
		Individual Median F1: 0.5384985595661752
		Individual Median F1: 0.5234382569937572
		Individual Median F1: 0.5576562664977298
		Individual Median F1: 0.5946104130605332
		Individual Median F1: 0.565356648199446
		Individual Median F1: 0.5154619338000428
		Individual Median F1: 0.5427518063194221
		Individual Median F1: 0.5665206573602792
		Individual Median F1: 0.5211734073945495
		Individual Median F1: 0.5160514709479909
		Individual Median F1: 0.5033634755677419
		Individual Median F1: 0.5204187972432193
		Individual Median F1: 0.5729792088102423
		Individual Median F1: 0.556986120290813
		Individual Median F1: 0.5403544513926224
		Individual Median F1: 0.5058964394645203
		Individual Median F1: 0.523875044942888
		Individual Median F1: 0.5510054267023492
		Individual Median F1: 0.5656402421108304
		Individual Median F1: 0.5663699791340636
		Individual Median F1: 0.5392635044506768
		Individual Median F1: 0.5526802341048151
		Individual Median F1: 0.5380850630850631
		Individual Median F1: 0.5368031255308306
		Individual Median F1: 0.566490464344942
		Individual Median F1: 0.5383984102115422
		Individual Median F1: 0.5495751367710394
		Individual Median F1: 0.5338074771455861
		Individual Median F1: 0.5410563722840773
	Average F1 score:	0.5354352905487646
	Best Individual F1 score:	0.5946104130605332
	F1:	0.5946104130605332
	Extends:	0.7913030834519117
	Implements:	0.40163333072076735
	Field:	0.6835756378270296
	Argument:	0.5138126024434284
	Returns:	0.961477519013942
	LocalVar:	0.2654723429796939
	MethodCall:	0.005817163375733458
	ConstructorCall:	0.8154464890314443
	OwnFieldUse:	0.5628731877750208
	FieldUse:	0.041619711915585444
	Throws:	0.45773532496261793
	File_Horizontal:	0.6870280135925196
	File_LevelUp:	0.9822771084665274
	File_LevelDown:	0.4450466284178576
	Unknown:	0.06910751574856722
Evaluating generation: 7
		Individual Median F1: 0.585736919536761
		Individual Median F1: 0.5795402844690906
		Individual Median F1: 0.5812115503346746
		Individual Median F1: 0.5653930731170973
		Individual Median F1: 0.5845618432820837
		Individual Median F1: 0.5798178977425785
		Individual Median F1: 0.5768185126876915
		Individual Median F1: 0.5719810678230584
		Individual Median F1: 0.5736115362377989
		Individual Median F1: 0.5839011208248
		Individual Median F1: 0.5862261281054588
		Individual Median F1: 0.5774249092551309
		Individual Median F1: 0.575367243272927
		Individual Median F1: 0.5847649370004064
		Individual Median F1: 0.5529228061913674
		Individual Median F1: 0.5549821615619068
		Individual Median F1: 0.5526549769748494
		Individual Median F1: 0.5812115503346746
		Individual Median F1: 0.581869600336139
		Individual Median F1: 0.5584360095734666
		Individual Median F1: 0.569390424867229
		Individual Median F1: 0.5527098725640899
		Individual Median F1: 0.5197471417269879
		Individual Median F1: 0.576776658230266
		Individual Median F1: 0.581869600336139
		Individual Median F1: 0.5801958983777166
		Individual Median F1: 0.5582248422947196
		Individual Median F1: 0.570336229487473
		Individual Median F1: 0.5700613865988543
		Individual Median F1: 0.5652886750812802
	Average F1 score:	0.5747924148485284
	Best Individual F1 score:	0.5839011208248
	F1:	0.5839011208248
	Extends:	0.7913030834519117
	Implements:	0.192583537083845
	Field:	0.19658169186185392
	Argument:	0.5138126024434284
	Returns:	0.9385498611265414
	LocalVar:	0.18808138433763655
	MethodCall:	0.005817163375733458
	ConstructorCall:	0.8154464890314443
	OwnFieldUse:	0.4967735331171781
	FieldUse:	0.041619711915585444
	Throws:	0.45773532496261793
	File_Horizontal:	0.6870280135925196
	File_LevelUp:	0.3366444664666449
	File_LevelDown:	0.2939824407185343
	Unknown:	0.3590789034508638
Evaluating generation: 8
		Individual Median F1: 0.5655925905385171
		Individual Median F1: 0.5528923351403281
		Individual Median F1: 0.5553602691760586
		Individual Median F1: 0.5475500106405617
		Individual Median F1: 0.5570179029528957
		Individual Median F1: 0.56755381518108
		Individual Median F1: 0.5488283910812407
		Individual Median F1: 0.5507382042192931
		Individual Median F1: 0.5531415715892656
		Individual Median F1: 0.5810485183979159
		Individual Median F1: 0.5626795856999666
		Individual Median F1: 0.5528270785349773
		Individual Median F1: 0.5693764067258043
		Individual Median F1: 0.5646408103425296
		Individual Median F1: 0.5465942474550796
		Individual Median F1: 0.565592590538517
		Individual Median F1: 0.5675538151810801
		Individual Median F1: 0.5582497820401047
		Individual Median F1: 0.5518247184913851
		Individual Median F1: 0.5741917808219179
		Individual Median F1: 0.5645272371811961
		Individual Median F1: 0.5645272371811961
		Individual Median F1: 0.5501807151155285
		Individual Median F1: 0.5618808737617474
		Individual Median F1: 0.5379976944222753
		Individual Median F1: 0.5427465885154319
		Individual Median F1: 0.5626795856999666
		Individual Median F1: 0.5625334165032971
		Individual Median F1: 0.5684821034025629
		Individual Median F1: 0.5435643977310645
	Average F1 score:	0.5351011681573529
	Best Individual F1 score:	0.5810485183979159
	F1:	0.5810485183979159
	Extends:	0.7913030834519117
	Implements:	0.40163333072076735
	Field:	0.6835756378270296
	Argument:	0.5138126024434284
	Returns:	0.961477519013942
	LocalVar:	0.18808138433763655
	MethodCall:	0.005817163375733458
	ConstructorCall:	0.7657265843138441
	OwnFieldUse:	0.5628731877750208
	FieldUse:	0.041619711915585444
	Throws:	0.45773532496261793
	File_Horizontal:	0.6999651802876268
	File_LevelUp:	0.3366444664666449
	File_LevelDown:	0.6921678609051894
	Unknown:	0.06910751574856722
Evaluating generation: 9
		Individual Median F1: 0.5809599478466365
		Individual Median F1: 0.5751577041392469
		Individual Median F1: 0.5585456179285744
		Individual Median F1: 0.5504238410596025
		Individual Median F1: 0.5321155078770705
		Individual Median F1: 0.5362143864598026
		Individual Median F1: 0.5700073964497041
		Individual Median F1: 0.5567647809462709
		Individual Median F1: 0.5339681305868635
		Individual Median F1: 0.5585456179285744
		Individual Median F1: 0.53999685682854
		Individual Median F1: 0.5455388487779029
		Individual Median F1: 0.546843394016821
		Individual Median F1: 0.5773960446247465
		Individual Median F1: 0.5271863291601937
		Individual Median F1: 0.5374410149299915
		Individual Median F1: 0.5751577041392469
		Individual Median F1: 0.5608310155260443
		Individual Median F1: 0.5549037216734118
		Individual Median F1: 0.5274261603375526
		Individual Median F1: 0.5440727465817072
		Individual Median F1: 0.5444674457429048
		Individual Median F1: 0.5751577041392469
		Individual Median F1: 0.5532561983471074
		Individual Median F1: 0.5481931038292114
		Individual Median F1: 0.5245692079562305
		Individual Median F1: 0.5357087468982631
		Individual Median F1: 0.5538944259874492
		Individual Median F1: 0.5431151335682856
		Individual Median F1: 0.5504238410596027
	Average F1 score:	0.5235661134755997
	Best Individual F1 score:	0.5809599478466365
	F1:	0.5809599478466365
	Extends:	0.7913030834519117
	Implements:	0.557433860236753
	Field:	0.19658169186185392
	Argument:	0.5138126024434284
	Returns:	0.961477519013942
	LocalVar:	0.2654723429796939
	MethodCall:	0.005817163375733458
	ConstructorCall:	0.8154464890314443
	OwnFieldUse:	0.4144009005082159
	FieldUse:	0.041619711915585444
	Throws:	0.45773532496261793
	File_Horizontal:	0.6870280135925196
	File_LevelUp:	0.9822771084665274
	File_LevelDown:	0.6921678609051894
	Unknown:	0.3590789034508638
Evaluating generation: 10
		Individual Median F1: 0.47557188721585064
		Individual Median F1: 0.4601720232748858
		Individual Median F1: 0.48530011997377887
		Individual Median F1: 0.49501831501831506
		Individual Median F1: 0.5053555191853065
		Individual Median F1: 0.4856001735380061
		Individual Median F1: 0.500571951498513
		Individual Median F1: 0.4962614646864379
		Individual Median F1: 0.5021733175052507
		Individual Median F1: 0.5083800929849072
		Individual Median F1: 0.5097309299895507
		Individual Median F1: 0.4971509971509971
		Individual Median F1: 0.49823708206686923
		Individual Median F1: 0.495018315018315
		Individual Median F1: 0.4834747852923692
		Individual Median F1: 0.4834747852923692
		Individual Median F1: 0.4899838864401572
		Individual Median F1: 0.4654919428796017
		Individual Median F1: 0.4732205690157837
		Individual Median F1: 0.46714752892913813
		Individual Median F1: 0.47981119686343177
		Individual Median F1: 0.47308152563424866
		Individual Median F1: 0.4970817346820137
		Individual Median F1: 0.4956521739130435
		Individual Median F1: 0.47544105854049723
		Individual Median F1: 0.5088600856004053
		Individual Median F1: 0.5021551724137931
		Individual Median F1: 0.5098870056497176
		Individual Median F1: 0.5048642608295537
		Individual Median F1: 0.5034767492394611
	Average F1 score:	0.4673406793184744
	Best Individual F1 score:	0.5097309299895507
	F1:	0.5097309299895507
	Extends:	0.7913030834519117
	Implements:	0.192583537083845
	Field:	0.19658169186185392
	Argument:	0.5138126024434284
	Returns:	0.9385498611265414
	LocalVar:	0.18808138433763655
	MethodCall:	0.005817163375733458
	ConstructorCall:	0.8154464890314443
	OwnFieldUse:	0.4967735331171781
	FieldUse:	0.041619711915585444
	Throws:	0.45773532496261793
	File_Horizontal:	0.6870280135925196
	File_LevelUp:	0.9822771084665274
	File_LevelDown:	0.6921678609051894
	Unknown:	0.3590789034508638
Evaluating generation: 11
		Individual Median F1: 0.5259846268961295
		Individual Median F1: 0.5458683140609324
		Individual Median F1: 0.5293666551736438
		Individual Median F1: 0.5227005495164735
		Individual Median F1: 0.5230409236865479
		Individual Median F1: 0.5455388487779029
		Individual Median F1: 0.5214757520791266
		Individual Median F1: 0.5245692079562305
		Individual Median F1: 0.5169100427056068
		Individual Median F1: 0.5184172983378881
		Individual Median F1: 0.536619104800923
		Individual Median F1: 0.5245692079562305
		Individual Median F1: 0.5526405959031657
		Individual Median F1: 0.5290729194903767
		Individual Median F1: 0.5365686027994301
		Individual Median F1: 0.5301842880212786
		Individual Median F1: 0.5230409236865479
		Individual Median F1: 0.5336386288638966
		Individual Median F1: 0.5365366876310274
		Individual Median F1: 0.5351478494623656
		Individual Median F1: 0.5336386288638966
		Individual Median F1: 0.5301842880212786
		Individual Median F1: 0.5365366876310274
		Individual Median F1: 0.5291158536585365
		Individual Median F1: 0.5301842880212786
		Individual Median F1: 0.525997005580509
		Individual Median F1: 0.5274751383090656
		Individual Median F1: 0.5290729194903767
		Individual Median F1: 0.5435453299507188
		Individual Median F1: 0.5301842880212786
	Average F1 score:	0.5394546156675424
	Best Individual F1 score:	0.5526405959031657
	F1:	0.5526405959031657
	Extends:	0.7913030834519117
	Implements:	0.40163333072076735
	Field:	0.19658169186185392
	Argument:	0.5138126024434284
	Returns:	0.961477519013942
	LocalVar:	0.18808138433763655
	MethodCall:	0.005817163375733458
	ConstructorCall:	0.8154464890314443
	OwnFieldUse:	0.3610540859604162
	FieldUse:	0.041619711915585444
	Throws:	0.45773532496261793
	File_Horizontal:	0.6999651802876268
	File_LevelUp:	0.3366444664666449
	File_LevelDown:	0.6921678609051894
	Unknown:	0.3590789034508638
Evaluating generation: 12
		Individual Median F1: 0.5869187019069924
		Individual Median F1: 0.5691646919431281
		Individual Median F1: 0.5897339309555598
		Individual Median F1: 0.5872265122265121
		Individual Median F1: 0.5921959698561987
		Individual Median F1: 0.5847799118017258
		Individual Median F1: 0.5947376933919135
		Individual Median F1: 0.5894624235367328
		Individual Median F1: 0.6038654934003771
		Individual Median F1: 0.5776867674057335
		Individual Median F1: 0.5764198141734014
		Individual Median F1: 0.5830455259026688
		Individual Median F1: 0.5964263764062459
		Individual Median F1: 0.5909889460673807
		Individual Median F1: 0.5909889460673807
		Individual Median F1: 0.576730530995978
		Individual Median F1: 0.5841444270015699
		Individual Median F1: 0.5846800759601596
		Individual Median F1: 0.5878661320859784
		Individual Median F1: 0.6009978570610656
		Individual Median F1: 0.5872265122265121
		Individual Median F1: 0.5924253708185938
		Individual Median F1: 0.6046771510186144
		Individual Median F1: 0.5870231394621639
		Individual Median F1: 0.5912207357859531
		Individual Median F1: 0.5947859470559351
		Individual Median F1: 0.5964263764062459
		Individual Median F1: 0.5912207357859531
		Individual Median F1: 0.5750975674953221
		Individual Median F1: 0.5659008221270779
	Average F1 score:	0.5803711275673328
	Best Individual F1 score:	0.5964263764062459
	F1:	0.5964263764062459
	Extends:	0.7913030834519117
	Implements:	0.192583537083845
	Field:	0.19658169186185392
	Argument:	0.5138126024434284
	Returns:	0.961477519013942
	LocalVar:	0.18808138433763655
	MethodCall:	0.005817163375733458
	ConstructorCall:	0.8154464890314443
	OwnFieldUse:	0.4967735331171781
	FieldUse:	0.041619711915585444
	Throws:	0.45773532496261793
	File_Horizontal:	0.6870280135925196
	File_LevelUp:	0.9822771084665274
	File_LevelDown:	0.6921678609051894
	Unknown:	0.06910751574856722
Evaluating generation: 13
		Individual Median F1: 0.5595153946049019
		Individual Median F1: 0.5595153946049019
		Individual Median F1: 0.5595153946049019
		Individual Median F1: 0.551516662511427
		Individual Median F1: 0.551516662511427
		Individual Median F1: 0.551516662511427
		Individual Median F1: 0.551516662511427
		Individual Median F1: 0.5488956359268651
		Individual Median F1: 0.5537866876310272
		Individual Median F1: 0.5416034779092104
		Individual Median F1: 0.5419753291937874
		Individual Median F1: 0.5419753291937874
		Individual Median F1: 0.5233777225072112
		Individual Median F1: 0.5423757343163493
		Individual Median F1: 0.5331109089070873
		Individual Median F1: 0.5423757343163493
		Individual Median F1: 0.5595153946049019
		Individual Median F1: 0.551516662511427
		Individual Median F1: 0.550763701707098
		Individual Median F1: 0.553017863362691
		Individual Median F1: 0.5496646252551765
		Individual Median F1: 0.551516662511427
		Individual Median F1: 0.5435230406325792
		Individual Median F1: 0.551516662511427
		Individual Median F1: 0.5403279573976083
		Individual Median F1: 0.551516662511427
		Individual Median F1: 0.5450642353916286
		Individual Median F1: 0.5346717783158461
		Individual Median F1: 0.5331109089070873
		Individual Median F1: 0.5423757343163493
	Average F1 score:	0.47848645571232046
	Best Individual F1 score:	0.5537866876310272
	F1:	0.5537866876310272
	Extends:	0.7913030834519117
	Implements:	0.192583537083845
	Field:	0.19658169186185392
	Argument:	0.5138126024434284
	Returns:	0.961477519013942
	LocalVar:	0.18808138433763655
	MethodCall:	0.005817163375733458
	ConstructorCall:	0.8154464890314443
	OwnFieldUse:	0.4967735331171781
	FieldUse:	0.0
	Throws:	0.45773532496261793
	File_Horizontal:	0.6870280135925196
	File_LevelUp:	0.9822771084665274
	File_LevelDown:	0.6921678609051894
	Unknown:	0.06910751574856722
Evaluating generation: 14
		Individual Median F1: 0.6004126263668248
		Individual Median F1: 0.6078690127077224
		Individual Median F1: 0.6078690127077224
		Individual Median F1: 0.6112164988569484
		Individual Median F1: 0.6089884350753916
		Individual Median F1: 0.6057330057330057
		Individual Median F1: 0.6004126263668248
		Individual Median F1: 0.6022921339067097
		Individual Median F1: 0.6004126263668248
		Individual Median F1: 0.6041615365673478
		Individual Median F1: 0.6041615365673478
		Individual Median F1: 0.6041615365673478
		Individual Median F1: 0.6041615365673478
		Individual Median F1: 0.6103096046848557
		Individual Median F1: 0.6087913655866855
		Individual Median F1: 0.6117374270408571
		Individual Median F1: 0.6041615365673478
		Individual Median F1: 0.6094819159335289
		Individual Median F1: 0.6013536483604783
		Individual Median F1: 0.6013536483604783
		Individual Median F1: 0.6041615365673478
		Individual Median F1: 0.6025486333415415
		Individual Median F1: 0.6087913655866855
		Individual Median F1: 0.6041615365673478
		Individual Median F1: 0.6041615365673478
		Individual Median F1: 0.6076125132728907
		Individual Median F1: 0.614228808736818
		Individual Median F1: 0.6103096046848557
		Individual Median F1: 0.6117374270408571
		Individual Median F1: 0.6117374270408571
	Average F1 score:	0.5567281029750382
	Best Individual F1 score:	0.6041615365673478
	F1:	0.6041615365673478
	Extends:	0.7913030834519117
	Implements:	0.192583537083845
	Field:	0.6835756378270296
	Argument:	0.5138126024434284
	Returns:	0.9385498611265414
	LocalVar:	0.18808138433763655
	MethodCall:	0.005817163375733458
	ConstructorCall:	0.8154464890314443
	OwnFieldUse:	0.4967735331171781
	FieldUse:	0.0
	Throws:	0.45773532496261793
	File_Horizontal:	0.6870280135925196
	File_LevelUp:	0.9822771084665274
	File_LevelDown:	0.6921678609051894
	Unknown:	0.06910751574856722
Evaluating generation: 15
		Individual Median F1: 0.5763319672131149
		Individual Median F1: 0.5763319672131149
		Individual Median F1: 0.5763319672131149
		Individual Median F1: 0.577626251864479
		Individual Median F1: 0.577626251864479
		Individual Median F1: 0.577626251864479
		Individual Median F1: 0.577626251864479
		Individual Median F1: 0.577626251864479
		Individual Median F1: 0.577626251864479
		Individual Median F1: 0.5786147462496011
		Individual Median F1: 0.5786147462496011
		Individual Median F1: 0.5763319672131147
		Individual Median F1: 0.5763319672131149
		Individual Median F1: 0.5763319672131147
		Individual Median F1: 0.5744006849315069
		Individual Median F1: 0.5763319672131149
		Individual Median F1: 0.577626251864479
		Individual Median F1: 0.5763319672131149
		Individual Median F1: 0.5763319672131149
		Individual Median F1: 0.5763319672131149
		Individual Median F1: 0.5786147462496011
		Individual Median F1: 0.5763319672131149
		Individual Median F1: 0.577626251864479
		Individual Median F1: 0.5854583772391991
		Individual Median F1: 0.5786147462496011
		Individual Median F1: 0.581114314789688
		Individual Median F1: 0.577626251864479
		Individual Median F1: 0.5840169776060309
